job_index,job_id,seed,horizon,model,script,output_directory,command
181,seed099_horizon06_GRU,99,6,GRU,seed099_horizon06_gru.py,GRU_seed99_horizon6,python seed099_horizon06_gru.py
182,seed099_horizon06_Transformer,99,6,Transformer,seed099_horizon06_transformer.py,Transformer_seed99_horizon6,python seed099_horizon06_transformer.py
183,seed099_horizon06_ConvLSTM,99,6,ConvLSTM,seed099_horizon06_convlstm.py,ConvLSTM_seed99_horizon6,python seed099_horizon06_convlstm.py
184,seed099_horizon06_CNN_LSTM,99,6,CNN-LSTM,seed099_horizon06_cnn_lstm.py,CNN-LSTM_seed99_horizon6,python seed099_horizon06_cnn_lstm.py
185,seed099_horizon09_STG_Informer,99,9,STG-Informer,seed099_horizon09_stg_informer.py,STG_seed99_horizon9,python seed099_horizon09_stg_informer.py
186,seed099_horizon09_G_Informer,99,9,G-Informer,seed099_horizon09_g_informer.py,G_seed99_horizon9,python seed099_horizon09_g_informer.py
187,seed099_horizon09_ST_Informer,99,9,ST-Informer,seed099_horizon09_st_informer.py,ST_seed99_horizon9,python seed099_horizon09_st_informer.py
188,seed099_horizon09_Informer,99,9,Informer,seed099_horizon09_informer.py,Informer_seed99_horizon9,python seed099_horizon09_informer.py
189,seed099_horizon09_GRU,99,9,GRU,seed099_horizon09_gru.py,GRU_seed99_horizon9,python seed099_horizon09_gru.py
190,seed099_horizon09_Transformer,99,9,Transformer,seed099_horizon09_transformer.py,Transformer_seed99_horizon9,python seed099_horizon09_transformer.py
191,seed099_horizon09_ConvLSTM,99,9,ConvLSTM,seed099_horizon09_convlstm.py,ConvLSTM_seed99_horizon9,python seed099_horizon09_convlstm.py
192,seed099_horizon09_CNN_LSTM,99,9,CNN-LSTM,seed099_horizon09_cnn_lstm.py,CNN-LSTM_seed99_horizon9,python seed099_horizon09_cnn_lstm.py
193,seed099_horizon12_STG_Informer,99,12,STG-Informer,seed099_horizon12_stg_informer.py,STG_seed99_horizon12,python seed099_horizon12_stg_informer.py
194,seed099_horizon12_G_Informer,99,12,G-Informer,seed099_horizon12_g_informer.py,G_seed99_horizon12,python seed099_horizon12_g_informer.py
195,seed099_horizon12_ST_Informer,99,12,ST-Informer,seed099_horizon12_st_informer.py,ST_seed99_horizon12,python seed099_horizon12_st_informer.py
196,seed099_horizon12_Informer,99,12,Informer,seed099_horizon12_informer.py,Informer_seed99_horizon12,python seed099_horizon12_informer.py
197,seed099_horizon12_GRU,99,12,GRU,seed099_horizon12_gru.py,GRU_seed99_horizon12,python seed099_horizon12_gru.py
198,seed099_horizon12_Transformer,99,12,Transformer,seed099_horizon12_transformer.py,Transformer_seed99_horizon12,python seed099_horizon12_transformer.py
199,seed099_horizon12_ConvLSTM,99,12,ConvLSTM,seed099_horizon12_convlstm.py,ConvLSTM_seed99_horizon12,python seed099_horizon12_convlstm.py
200,seed099_horizon12_CNN_LSTM,99,12,CNN-LSTM,seed099_horizon12_cnn_lstm.py,CNN-LSTM_seed99_horizon12,python seed099_horizon12_cnn_lstm.py
