OBJECTID,PS_ID,Longitude,Latitude,Mean_Veloc,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108
1,136129,113.437721,22.168022,-5.139375,0,21.601318,13.737514,8.635007,16.339951,10.925329,13.165757,1.985759,-5.368718,10.682958,-32.784023,12.341523,5.07856,10.92996,9.703578,12.945136,12.736232,11.10215,5.428487,11.238314,-3.819131,-8.84523,7.448822,9.319332,-1.346775,4.716962,-1.085053,8.101624,1.602578,12.590152,-3.999371,-9.11137,-1.395902,7.256353,-2.967685,10.401302,-6.063694,-4.088961,-6.356143,-1.310775,-0.71691,-0.362045,-6.860827,-7.914631,-10.44732,-11.853742,-12.038734,-6.483899,-9.13434,-9.443715,-8.771507,-1.178588,-16.524248,-13.499496,-9.928235,-13.932302,-11.934571,-12.28865,-32.024166,-35.790092,-8.416091,-15.80039,-12.646222,-8.401784,-15.866393,-26.105968,-19.165495,-14.312102,-68.566406,-18.499649,-18.924183,-16.913755,-16.609524,-18.501577,-13.452417,-12.599798,-17.589613,-15.957756,-31.51079,-18.253546,-29.298899,-23.55374,-21.555826,-30.98321,-23.510841,-21.916687,-20.659433,-20.686543,-32.229126,-32.518478,-31.190741,-19.828213,-36.782295,-27.743155,-17.325485,-33.81757,-28.246683,-34.383957,-26.648314,-25.868158,-28.917061,-27.875109,-24.720474,-36.866344
2,136182,113.437752,22.167898,-5.386928,0,22.857346,13.310619,10.081139,16.794685,10.308407,12.463194,3.155411,0.447185,8.944469,-35.746845,7.11923,3.787864,8.286186,10.080599,10.110292,8.676535,9.635967,3.237135,9.214617,-6.673917,-9.793516,4.678908,6.370326,-2.110472,0.589033,-4.10269,4.705625,-0.92764,7.980777,-7.81015,-12.20187,-4.990278,5.408688,-4.564274,8.025219,-7.263958,-5.780719,-7.858726,-3.12563,-3.589562,-1.687346,-8.91166,-8.308714,-12.170244,-12.640667,-14.378431,-7.888587,-11.089562,-10.62216,-12.081285,-2.916582,-18.762035,-15.692877,-12.315188,-13.882021,-12.865709,-13.948215,-32.969421,-37.091213,-11.063481,-16.238138,-14.472544,-11.215651,-17.6581,-28.490822,-21.887732,-15.240025,-69.541672,-20.660835,-20.400843,-18.716928,-19.334635,-20.955801,-15.953751,-16.285067,-20.407854,-18.638889,-33.268372,-19.259895,-31.782419,-25.733456,-25.111691,-32.840092,-26.610519,-25.09346,-23.766949,-24.225641,-34.848766,-35.161045,-35.100372,-23.029306,-37.978497,-31.994518,-20.254938,-36.514084,-31.543491,-38.216713,-30.385698,-30.915039,-30.972279,-31.865957,-29.127802,-38.784336
3,136240,113.437782,22.167776,-5.514813,0,24.967962,11.259474,9.828535,15.537775,7.914077,13.521585,1.885133,1.208265,5.714827,-39.112358,9.093462,3.897864,9.221972,9.473167,7.084237,2.088842,14.358477,1.786675,7.006876,-10.244465,-10.484978,1.256602,5.231567,-1.973912,-6.177938,-6.998109,2.221478,-3.223109,2.550239,-11.257399,-13.43053,-6.948258,2.66651,-6.537658,5.330622,-10.407784,-6.929206,-8.35397,-3.924225,-6.13377,-3.051411,-11.04096,-7.046969,-12.812936,-13.075476,-16.798862,-8.253067,-12.823874,-10.925426,-14.056822,-4.192183,-19.538189,-17.142677,-15.602085,-12.800284,-14.964268,-15.088339,-32.470207,-37.490925,-14.747093,-18.629507,-16.953316,-13.798999,-17.464317,-30.966335,-24.870783,-17.149319,-69.656898,-20.25272,-21.619045,-19.485807,-22.165365,-22.778301,-17.7892,-18.472361,-23.378969,-20.51977,-35.636143,-19.86141,-35.550358,-27.129755,-27.321678,-33.652603,-29.353283,-29.261803,-28.617989,-25.594078,-36.486164,-37.331566,-39.140965,-24.807657,-38.361423,-33.872093,-21.817127,-37.001789,-33.743736,-40.403725,-32.631363,-35.391693,-29.810314,-37.885582,-33.112053,-38.70639
4,136954,113.439491,22.165762,-5.765485,0,29.343254,15.329908,12.160105,13.816811,10.118984,9.835406,9.191549,1.995761,9.875929,-20.737997,5.527537,3.722352,4.992352,8.615825,9.902915,12.309338,2.591489,4.270164,8.702782,1.683163,-3.482278,8.543264,7.580764,-0.003509,1.695972,-3.558154,4.354154,3.92854,5.347534,-0.877729,-5.608042,-1.13443,11.042356,-6.711799,16.963165,-8.848788,-8.197048,-8.626457,1.60847,-5.123963,5.000067,-7.52484,-4.220089,-7.168417,-9.811455,-4.887346,-9.209408,-12.080613,-16.937702,-11.722717,-5.715298,-14.881554,-13.662437,-10.480128,-16.247225,-13.838842,-13.688159,-31.699135,-37.166359,-12.09165,-15.004901,-17.434832,-9.496132,-21.963099,-26.118031,-24.124626,-17.700439,-70.763336,-21.805443,-15.340294,-20.776497,-18.57851,-19.432083,-20.93852,-17.889755,-21.46129,-19.34602,-32.295181,-16.387754,-27.980534,-22.145638,-26.764278,-31.492723,-23.951206,-24.726822,-24.591646,-30.00894,-34.391327,-39.803406,-34.748272,-23.308893,-44.101429,-32.78812,-18.968788,-35.599876,-29.318087,-39.290344,-31.113752,-31.741852,-34.109612,-37.316689,-25.120047,-37.878349
5,136988,113.439529,22.16564,-5.72839,0,23.107561,16.325541,11.530081,15.553473,9.399483,10.273945,9.154236,2.692724,10.832464,-20.425394,7.283892,2.741859,5.489935,8.703259,7.869589,11.999756,1.932823,5.42397,8.095732,3.983696,-6.596095,8.077911,8.732658,-0.290536,1.859402,-3.780652,3.905849,-1.975131,5.447219,-1.00683,-4.485846,-1.377428,10.764006,-4.596817,17.878057,-8.396664,-5.600957,-6.812927,1.198789,-6.230295,4.587078,-7.212769,-3.077178,-6.755589,-10.467087,-4.402819,-9.537266,-11.919489,-13.693272,-10.86478,-5.818645,-15.262247,-13.103966,-10.468216,-10.302724,-14.183887,-12.743006,-31.240532,-35.769234,-10.984856,-14.386156,-18.044186,-8.223719,-19.785643,-26.728817,-23.023554,-16.687685,-69.880943,-21.040892,-17.463339,-20.186703,-19.018618,-19.535276,-20.591146,-19.654459,-22.256821,-20.021807,-32.763447,-17.758018,-28.217625,-20.689013,-25.345562,-29.0909,-26.74604,-24.427097,-24.914398,-29.398491,-35.654255,-38.607189,-34.919952,-22.184042,-42.434643,-31.604025,-18.370522,-34.408871,-31.423437,-38.056713,-32.236671,-33.415455,-34.313293,-35.681728,-27.589233,-37.858421
6,138239,113.439209,22.161734,-5.206131,0,28.345558,15.125787,9.53172,15.636313,12.037433,15.99137,8.016781,3.049714,7.955592,-29.28429,10.357342,4.978489,2.985332,5.595222,5.25694,8.440038,3.626628,4.891165,5.384808,-2.37243,-7.171964,2.820331,11.47226,-12.906431,0.122354,-1.867085,1.850949,-2.528628,4.651556,-0.330241,-5.449556,-6.731391,7.624571,-7.231379,5.253783,-16.820755,-6.539335,-7.70851,-4.928918,-5.661448,1.782626,-10.57045,-5.002616,-10.557194,-11.005888,-7.357412,-9.656412,-11.390285,-11.758362,-13.719947,-3.467307,-15.657359,-13.1141,-10.228621,-12.901937,-10.55083,-12.254358,-27.775955,-30.694736,-11.224606,-16.1814,-13.72019,-9.893768,-16.175909,-25.090878,-25.019707,-16.789841,-73.289116,-23.911453,-19.907,-20.887024,-19.280899,-22.505886,-18.716576,-17.748569,-21.246426,-20.608395,-27.730633,-16.132607,-25.626968,-22.130421,-25.394943,-28.302826,-25.31007,-24.494335,-25.019737,-28.057465,-32.441002,-30.759632,-32.162655,-16.591091,-39.426949,-30.411118,-18.779037,-33.392338,-27.436184,-33.39336,-29.520889,-30.224007,-32.228313,-30.719128,-27.016838,-36.340355
7,138307,113.444405,22.162447,1.729434,0,25.86713,9.234486,32.797974,28.497425,19.113016,18.864069,35.932297,28.129023,36.325382,17.116499,27.860748,20.633232,-2.093758,20.386648,15.32226,15.090204,11.550823,7.321077,5.465592,19.507505,11.496304,16.224155,16.993385,-3.491571,13.573524,5.14367,12.25994,6.151237,9.337564,31.718822,-3.858845,22.720224,23.997417,11.9777,23.919304,1.957967,5.714354,-1.418344,27.359261,28.051891,35.543045,18.823927,12.793129,9.010267,2.834355,11.024229,4.886035,6.895134,27.132561,23.468437,29.862007,18.088005,17.797279,17.978737,15.772851,8.43051,5.010907,18.291494,22.857914,38.443665,34.862953,24.246252,32.806854,27.992813,19.036079,15.226525,19.091444,18.688894,14.103818,10.145224,3.166731,4.000853,7.373609,6.425851,35.794136,23.867912,21.823288,23.647732,24.510708,9.824085,19.940083,42.505295,41.914772,15.630261,42.224815,41.068909,31.547092,29.74663,29.75753,18.313614,21.088305,15.582376,40.245293,61.571861,9.572477,12.949376,12.540997,39.554962,41.928181,37.49617,44.484764,36.947876,26.660545
8,139042,113.446724,22.160601,2.033749,0,17.5079,2.935926,35.946743,33.490089,26.410984,18.991482,43.595142,30.674812,38.277412,19.220715,35.13699,25.595854,-8.904421,28.126177,22.892616,19.322475,17.592804,15.68007,15.722078,34.755417,20.309181,28.920233,32.318077,13.004577,26.315437,13.242617,16.996464,15.135802,16.838089,40.322109,2.374062,30.918825,27.487095,21.564785,39.630791,18.888119,17.550547,9.755011,39.536015,39.528595,41.271652,25.857533,22.092583,23.273018,23.099709,20.262913,9.507383,13.210014,36.055515,36.129051,37.286228,28.228346,25.824751,27.809748,25.466879,12.981455,10.869541,27.285408,20.470909,41.131065,38.636681,32.606148,35.069492,30.775534,23.654499,16.808144,29.389444,29.735229,20.92053,16.238541,11.774393,13.639176,16.413607,16.001152,38.052856,34.185757,31.042183,28.578308,24.237354,16.314993,27.477846,50.174286,44.436035,17.039289,46.793571,48.722191,39.121788,37.345169,37.054714,24.44916,20.637287,18.777765,49.022003,69.520027,21.725189,30.68219,23.205729,51.549332,50.225151,50.717056,49.940968,48.828873,35.537296
9,139400,113.447884,22.159777,2.887194,0,17.31768,7.886784,33.313198,29.769867,23.956493,23.655155,43.989639,34.003372,40.823357,19.784506,34.362518,26.023136,3.907337,24.534765,20.091648,23.486557,17.297754,13.250847,15.749773,28.821365,17.246828,25.859425,25.016521,14.262264,19.343271,13.257317,14.404102,13.882808,19.529434,42.084843,9.136335,31.006388,32.363579,22.603065,32.691456,15.418109,17.260784,10.781371,37.906265,37.481888,40.529045,26.909723,17.884613,21.067747,17.271936,20.559895,15.999996,16.951538,37.312977,38.644173,39.640129,30.201807,27.802296,29.288897,29.279783,17.397579,13.592209,30.997921,25.447767,48.443665,42.285992,38.045757,42.129135,37.216698,32.318169,23.376265,26.365185,38.250282,25.409986,28.000353,15.109909,15.062746,20.111454,17.559193,43.707981,39.00103,38.805466,34.012741,30.035492,20.475712,33.212944,58.045925,50.927628,25.772322,53.541138,55.759148,46.474911,42.644768,45.135387,33.044605,35.320541,26.98398,53.763847,67.970612,25.348421,27.473965,25.335686,54.254288,55.821304,51.530605,55.886909,49.848465,38.929939
10,139401,113.447815,22.159763,1.907277,0,13.644319,3.33675,29.591665,26.014318,20.373287,21.287241,40.831917,31.257336,41.034657,23.954758,33.462238,24.443289,2.73234,24.198647,20.927296,21.164558,13.717428,13.300135,15.245779,28.28389,15.383706,24.342316,21.40173,9.319513,16.026657,12.88965,8.748273,11.315024,15.127174,38.198986,1.249016,27.410873,35.21209,7.13095,28.682856,14.961483,14.525452,7.43229,34.148273,34.66785,37.427628,22.214483,13.769956,19.590565,15.117638,15.879019,10.32056,12.705024,28.918425,36.028027,36.558647,26.384426,24.838766,23.615732,23.08469,10.7617,10.879745,24.75008,19.327532,51.894844,37.944641,29.87145,36.736465,30.962879,26.088562,15.169254,30.41877,30.307875,17.80633,8.458948,5.456356,7.591825,8.302432,12.648399,36.315376,31.890608,31.312471,30.225582,26.696758,15.679474,24.160063,47.897606,40.584888,16.896223,49.548004,48.467579,38.150738,36.04649,36.960934,24.898466,24.105831,20.961651,47.276459,59.494698,17.476746,17.010399,11.28325,45.617275,44.856735,44.103157,51.304546,35.627777,29.180305
11,139463,113.447929,22.159588,3.052765,0,20.277697,4.983841,33.550285,30.124966,20.726879,25.324165,45.2929,36.991409,40.49947,21.728909,35.892548,25.684134,4.172897,23.083254,20.483475,20.221155,17.464745,13.996312,16.029232,31.02561,16.123362,27.145346,24.715168,12.813634,20.633408,12.064749,14.721697,13.127063,17.803635,40.509308,5.098791,28.353176,33.112068,21.382404,32.762337,17.326168,16.615963,10.247087,38.453468,38.204311,40.419079,27.431719,20.471317,23.117046,18.938259,20.150402,16.997917,18.822697,35.474579,39.269211,40.554001,31.374239,29.761616,29.244663,29.600159,17.309563,15.184114,31.601974,25.761168,48.29258,43.43573,37.466446,41.051224,35.401722,30.448402,22.555124,28.289604,38.176159,26.012615,22.533239,15.359442,15.758553,21.405359,19.489735,43.409775,38.987381,38.696793,36.236778,32.308441,20.45282,36.131866,59.932949,53.190117,27.783104,56.981476,56.271576,46.647469,41.865425,45.635529,33.680988,36.370743,26.93268,55.134182,69.83432,28.067572,28.361963,27.840982,56.396362,56.348846,54.684464,56.58461,51.987404,38.22942
12,139508,113.448441,22.159489,2.87659,0,19.629114,6.320002,31.306618,29.395355,22.014444,21.219326,38.415524,28.553394,34.070301,20.444773,28.9925,19.316814,6.373102,20.752907,17.156349,16.147137,13.623851,8.62729,6.736933,21.366051,10.522417,19.866449,17.7264,9.570927,13.383287,4.621178,6.9729,6.842966,10.314259,33.339302,-0.681427,24.455797,24.536713,11.206059,23.075136,4.940816,5.166621,0.100378,27.501078,27.179993,26.956244,16.343653,4.986472,9.85482,12.867207,9.223186,5.577225,11.324556,28.852188,28.876564,30.560856,22.361195,19.73884,20.113314,20.020103,9.573411,4.45712,21.845339,16.046989,38.698284,37.381466,29.695206,37.418617,31.776867,22.218845,17.424982,20.795143,28.709549,14.365225,14.210344,7.748473,9.545527,14.267471,11.181997,38.140408,33.543949,29.006342,28.318071,25.110605,16.925785,30.802296,49.990761,47.696228,22.915922,45.865219,49.589787,41.20335,36.001564,38.928913,27.776123,31.925871,19.693821,51.874058,64.694504,21.062599,22.510864,27.952618,51.866863,49.934238,49.073166,52.800957,43.794067,37.17971
13,139554,113.448463,22.159365,2.996757,0,20.826204,7.587131,31.983738,29.368847,22.075085,21.941685,39.424023,29.692194,36.9454,19.862619,31.386318,20.880306,7.570951,20.713137,16.388557,14.961986,14.55914,10.372887,6.679169,22.702183,11.63921,19.858198,19.233719,11.451094,12.976161,4.244341,7.330172,4.718322,8.651389,31.77528,-0.050932,24.537098,26.483501,13.704975,25.76845,4.034394,5.207394,-1.160484,26.913694,25.530987,26.113894,17.986542,7.561897,10.386942,12.687586,9.223486,5.160021,9.656593,27.009731,27.975073,28.240437,20.383364,20.211838,18.639927,21.238726,9.887333,6.203526,25.236856,16.163849,39.352547,35.515305,29.156719,38.676208,31.240494,21.399967,16.730387,21.896042,30.590809,14.132028,17.94558,10.63076,11.708368,16.533051,13.286268,39.274952,33.466949,29.88209,29.126446,25.636261,16.619278,33.991219,52.357697,47.704441,20.209873,46.792442,49.042881,41.582748,37.096966,39.805672,28.371727,32.856892,22.221718,55.79599,71.377312,23.554543,28.011494,29.231031,51.161072,51.653053,48.958126,51.257767,45.733292,38.033386
14,140355,113.439957,22.155441,-2.179347,0,8.944131,-1.340034,21.860481,17.766933,12.049328,10.432905,31.224789,23.28264,23.733734,11.900186,25.029037,33.050621,10.024685,29.248198,24.02721,23.359953,15.280752,12.170793,12.733653,20.794472,18.509811,20.758698,20.957344,3.982055,11.879977,8.086856,7.142202,5.002196,11.143683,26.74337,-7.086403,17.806093,23.068539,10.219941,11.682343,-5.339048,5.104745,-2.575874,21.055033,21.822453,22.417685,12.714216,6.356268,3.228099,2.403325,2.76781,-2.804534,-2.610314,17.606981,17.737501,18.233959,2.857005,4.967191,4.88586,-2.606027,-3.022188,-2.161003,7.924055,4.655387,20.941254,16.616035,8.085185,12.889172,6.549112,-0.490741,-6.645477,6.134499,1.431748,-7.900864,-6.893087,-10.684101,-12.083235,-9.315218,-13.368069,11.20173,4.188983,5.855702,0.89909,-0.6177,-11.291943,2.575171,18.110764,15.936893,-9.462879,13.942426,16.309629,8.008868,5.123827,6.649504,-8.224817,-5.127464,-14.557039,13.330138,33.186768,-16.257715,-11.3123,-17.502979,14.543872,8.74395,10.92,11.883127,2.375431,-7.805696
15,141183,113.530312,22.168713,-1.190589,0,10.110952,-0.50111,-17.560568,-20.404432,-15.030107,-11.58172,-20.26313,2.557887,-5.167471,14.439812,0.052429,-15.788805,-4.107862,-22.66659,-26.752468,-11.27844,-11.274997,-4.198182,-14.853143,-0.83317,-26.178391,-11.239569,1.975661,-17.062887,-11.554799,-9.158028,-0.474842,-13.719954,-10.814509,-19.248734,-24.699398,-11.282719,-12.817874,-7.338649,11.702011,-4.888819,-17.28352,-14.007329,-11.822453,-11.140441,-13.156016,-12.619946,-19.367731,-12.60458,-26.383354,-12.08858,-19.889387,-10.890938,-17.234133,-15.874339,-19.939213,-27.289886,-26.302971,-21.17461,-13.591429,-21.170481,-26.869247,-7.038366,-33.355408,-6.394049,-16.257769,-18.066839,-18.385761,-17.373386,-13.123252,-15.871612,-19.128803,-39.21027,-16.243219,-11.693877,-16.461496,-12.147941,-13.943108,-10.134686,-14.1066,-12.39801,-20.562359,-14.896614,-15.447126,-7.246831,-3.904023,-11.790448,-19.606882,-21.040754,-18.602764,-8.797306,-15.406469,-15.342473,-14.454261,-26.846653,-14.456902,-8.730245,-16.893847,-21.20587,-18.709171,-21.849985,-15.991827,-17.98525,-20.446264,-16.754242,-13.236577,-10.933918,-23.876966
16,141555,113.45726,22.154989,1.289897,0,10.555403,-5.947964,9.155334,13.365526,11.812122,11.358044,-4.997819,-5.120137,9.40267,-6.980525,7.489825,11.80941,-6.299589,6.276303,10.430283,3.576877,0.678904,23.048157,26.174706,5.673386,-0.956718,12.680195,-2.805807,-0.031267,23.022108,12.55652,24.593643,6.293821,4.76084,9.653409,5.049058,-5.641637,9.969697,-6.384295,19.306395,-2.601365,16.314777,14.472756,20.191118,9.438989,22.7733,9.870045,2.0234,12.091629,-10.604566,15.996508,9.990713,-1.525136,22.539658,1.665375,5.701775,14.072956,20.743748,24.378777,20.286713,16.647411,15.013205,2.772599,-1.442222,28.178059,12.916924,21.715593,16.834221,6.242282,14.691287,17.419029,6.939103,-22.982742,5.646168,9.512607,10.283732,2.939093,4.281114,12.390461,24.690269,15.413356,30.500469,10.536104,2.594431,26.098404,15.61272,4.835638,4.932347,21.089603,24.360182,31.179695,17.672039,13.972454,6.177853,8.790821,16.363836,23.682678,11.464506,21.934362,36.663239,7.429029,17.185045,10.096742,9.219614,4.356887,22.740931,9.207347,13.588941
17,141556,113.457329,22.155001,1.626896,0,11.219977,-4.952149,5.659222,11.586117,6.654827,11.950605,-6.775173,-5.451975,10.908743,-7.428238,7.05735,12.663134,-6.366097,4.533742,10.518374,2.436667,-2.134646,24.495914,25.811798,5.244869,-0.241523,10.435776,-2.27859,0.987895,24.197086,13.72238,24.350374,2.840473,3.639606,8.157871,3.890756,-7.97056,10.253599,-6.139103,19.039658,-3.104056,10.914595,14.588724,19.041035,7.867739,24.098146,7.841002,2.081724,10.471115,-10.828562,14.094402,9.814487,-1.794482,22.901596,-0.719902,5.658817,11.825586,21.01207,24.635574,20.16547,16.231781,15.04152,1.471828,-0.777295,28.940929,12.631855,21.995358,16.48069,7.962193,15.973129,17.67049,7.363332,-22.023794,6.555264,10.947965,10.705512,3.615833,4.98809,12.405013,25.113268,16.828026,31.002552,12.859939,4.269477,26.053745,17.181614,7.268014,6.852247,24.517096,26.207714,32.508465,18.872391,15.883141,8.292314,9.377157,16.918766,24.647434,12.966397,24.891846,39.174042,9.837083,19.120659,10.972795,9.951883,5.718599,25.090374,10.337435,13.452185
18,141600,113.457413,22.154886,2.181302,0,14.10534,-5.000396,9.052771,14.446396,11.697635,12.502397,-6.589272,-3.885278,10.615087,-5.619878,7.752916,12.706485,-6.430467,8.31109,11.953369,4.194613,-1.624633,23.685364,27.250786,7.312792,0.445591,12.090125,-1.10607,-0.174548,22.625784,14.456351,25.90535,12.126504,6.202663,14.764436,14.833837,1.741108,15.068478,2.541825,27.699677,7.896111,24.616215,25.230783,24.021032,19.055168,29.124897,21.207102,10.315038,20.914705,-1.450231,22.47953,17.394312,4.628008,31.333633,10.899284,15.584909,23.817612,33.101128,32.990124,29.072025,23.946983,22.633425,10.609467,3.09163,35.834538,21.27619,27.815464,24.2355,14.626585,21.882238,25.298855,14.90383,-7.393641,13.234811,18.907419,16.437693,10.96592,11.948627,20.224897,33.857235,22.852419,31.427048,15.807533,11.670076,31.227787,22.9716,11.045684,13.364076,28.016548,31.945271,38.50975,25.137938,20.175177,13.367702,16.332521,19.522583,36.851147,13.962712,27.696213,43.803516,17.072878,24.928356,17.458633,17.311451,11.996876,31.009323,16.414907,20.391043
19,141622,113.457275,22.154783,1.299593,0,12.872469,-5.236604,9.9208,14.131004,11.840212,12.052381,-3.858519,-3.788754,11.126356,-6.393762,9.255707,13.240401,-5.274704,7.356338,10.827073,4.029175,1.276404,24.278677,27.707279,6.971774,0.710567,13.743396,-1.42487,1.637744,23.534142,13.493561,25.603222,6.551893,5.237078,10.815666,6.31606,-5.609651,12.713697,-3.941322,20.197014,-2.259844,16.711792,15.099775,21.608772,9.454913,23.797638,10.266019,3.969189,14.419758,-8.402154,17.234701,10.754285,-0.704023,23.695719,1.714746,6.612801,14.036929,21.774588,24.975725,21.649645,18.362284,17.026794,4.219534,-0.330277,28.92749,13.491975,22.571766,17.908274,7.138887,15.206171,17.059198,7.360038,-22.213673,6.629915,11.710011,12.201643,3.925189,5.063868,13.176495,24.536591,15.713214,30.454254,11.361807,4.659854,27.168858,17.442009,5.984732,7.30424,23.462864,25.872639,31.847679,18.302319,13.962946,8.147497,9.51195,17.122437,25.361908,13.187382,23.977333,38.266079,9.172513,18.100643,10.362213,9.249033,4.935636,23.228233,9.996474,15.433954
20,141639,113.457115,22.154707,1.285434,0,8.589035,-9.587598,4.622798,11.309311,7.452317,6.567841,-7.665874,-8.162689,8.535255,-6.356483,3.864354,10.282386,-5.085105,4.748097,5.809134,2.55704,-1.557414,20.84576,21.265797,4.004258,-1.008565,11.749955,-3.883311,-2.470767,20.656525,9.595955,20.633251,0.872928,-1.283068,4.643663,1.422286,-11.704924,8.185505,-8.849237,15.481795,-6.734242,12.001225,9.188717,17.00724,3.81831,17.358135,4.542582,-0.019127,9.549834,-14.145281,13.139898,6.46143,-5.61391,19.075436,-2.715974,0.484155,9.597697,15.700066,19.318314,17.626247,12.988075,12.145909,2.585482,-3.808841,25.354816,9.374874,16.701912,11.241259,0.564108,10.244154,12.505516,4.301218,-22.917097,4.107967,4.592015,7.517933,0.994428,0.660631,9.860954,20.919487,11.321754,24.910089,5.735126,-2.290743,22.330425,14.327607,2.558506,2.617428,20.376431,24.249546,25.73123,14.873728,10.736934,2.834329,4.987063,13.574472,24.934862,9.929525,22.187315,34.591438,6.485356,16.283752,5.895183,4.581537,1.483826,19.790571,6.476953,10.973087
21,141693,113.457298,22.15461,1.502156,0,20.353008,-4.139325,10.578927,20.224451,15.641457,11.039458,-0.066568,0.558482,12.903975,-1.840203,16.271597,18.51532,0.727868,12.298584,12.276584,8.243048,6.827472,24.673334,32.752522,8.213808,5.239282,15.644582,4.265606,2.639013,24.705099,15.72247,26.536495,11.272848,14.603608,13.698019,11.38022,-3.364779,14.974135,3.799476,25.547205,2.99952,22.507561,17.454176,24.254368,10.735656,23.939472,19.747868,7.648781,15.857907,-3.801316,20.98506,14.944795,3.450245,25.840958,2.410299,7.462711,16.734112,23.052917,27.938526,24.757084,20.427328,18.614716,11.829477,20.362911,30.550259,15.913503,23.634686,20.815535,12.026103,17.2316,26.306652,16.445648,-21.036655,14.906534,13.915903,20.744146,12.089368,7.641072,18.675768,34.346447,21.242983,32.559277,16.632925,7.492361,29.724957,26.591324,12.524687,9.244078,26.551168,29.835949,34.881161,20.601364,18.554691,11.602262,7.796184,25.562687,30.245358,24.078678,28.68465,37.585186,7.69891,21.072235,14.901779,16.373714,5.653844,29.471703,21.696369,22.733274
22,141753,113.45739,22.154497,2.285681,0,18.670225,-1.263203,10.605965,19.958168,17.112177,13.223696,-0.739418,2.809335,10.732328,1.572187,16.512339,17.027424,-0.517601,10.230679,15.671887,8.861348,7.644791,25.496075,24.737309,10.136866,12.607066,16.39621,10.388241,5.980116,27.401363,15.075457,26.464874,8.700928,11.229675,15.463788,16.555202,3.165488,18.1714,9.249955,28.161919,8.027834,29.370609,23.902718,27.566925,15.132884,28.084419,24.026142,11.290671,20.610489,-0.077995,27.843796,17.381384,11.058611,30.411949,9.515917,12.797067,22.839832,28.540359,32.128716,28.57288,23.069096,22.924698,15.528433,9.42664,39.049019,24.112141,27.295586,23.791553,14.405209,23.302332,29.45874,17.908173,-6.437071,14.976238,17.438976,21.90246,14.807545,11.799614,23.499245,39.063683,27.028452,35.644547,21.42308,12.825698,34.013443,31.886274,16.10741,16.266577,32.842758,36.209801,40.284172,30.451313,25.01495,17.884228,16.955057,33.827499,40.95129,24.372858,34.170837,49.01326,21.947208,30.909992,19.891994,19.974499,15.186708,37.138172,20.671482,25.081142
23,141775,113.528519,22.166601,-1.212696,0,20.413013,-4.061726,-19.243748,-24.42477,-23.973248,-13.357052,-6.429684,-19.674427,-11.34668,6.080776,-9.705546,-6.78027,-23.716141,-15.730056,-18.329899,-18.788204,-1.064888,-22.127399,-2.462273,3.213701,-4.103616,-5.184345,6.542907,-3.128616,-5.406766,-6.647464,-4.601268,-4.110531,-2.334884,-4.188476,-11.04872,-5.933983,-1.133274,-11.945542,8.709506,-6.792919,-12.776091,-9.700603,-11.143099,-10.913511,-6.275111,-15.625257,-11.491651,-3.988167,-15.320417,1.633133,-9.038466,-5.151179,-7.578134,-16.178493,-21.487745,-18.022909,-9.744002,-7.467596,-14.130652,-14.766928,-16.805229,-0.941923,-29.159153,-2.63729,-19.670979,-15.359464,-19.300808,-18.328674,-14.590811,-18.102097,-17.774153,-36.120346,-11.820356,-8.566008,-15.087214,-18.296064,-8.65561,-17.265278,-15.746487,-15.63087,-13.651812,-14.397985,-18.233109,-4.339696,-4.253524,-11.904799,-19.721222,-21.434483,-11.892514,-15.154779,-16.090054,-17.149273,-15.828365,-20.854233,-13.464577,-13.480182,-9.630854,-13.507322,-15.089995,-21.167595,-18.290506,-19.439804,-15.862276,-18.246635,-13.06627,-5.630581,-21.202444
