OBJECTID,PS_ID,Longitude,Latitude,Mean_Veloc,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108
4155,164198,113.541695,22.102169,-0.321135,0,5.076058,1.369569,6.187886,0.870963,-5.465778,7.691608,4.84866,-4.770599,2.982522,12.683598,5.778679,-5.510924,0.305176,-0.886995,1.97267,-0.227012,4.764132,9.826837,0.294205,-3.716737,-11.676841,-9.405435,-0.85069,4.920598,-3.096964,0.749006,0.588042,2.07237,12.407813,1.674324,-6.818483,-5.648733,-2.823771,-2.736044,6.265539,-6.281704,2.423894,4.166529,2.561374,-1.68247,5.122962,-8.02932,6.69417,-3.357346,-14.070418,5.300773,-0.253483,-7.422638,1.165297,0.862072,-9.920702,-1.987116,7.104869,-0.049154,-5.6447,5.996438,-0.492336,6.607354,-6.522647,8.573786,-2.93028,3.092768,-2.112804,-5.775683,3.063796,-9.157087,-1.222672,-12.537136,-3.344971,-3.956996,-7.08192,1.082855,1.41275,-2.339588,-4.360179,-0.45077,3.372623,-0.405118,2.608441,-4.963085,-13.700759,-7.550453,-1.57891,-3.805026,3.480954,-6.51171,-0.046903,0.626505,-4.584203,-1.049248,-3.078319,14.186355,2.33525,-0.046406,-0.961476,-1.163469,-0.800611,-4.035237,-1.413113,5.127529,-3.14147,9.246987,-1.954637
4156,164199,113.527191,22.099691,0.172141,0,8.256551,1.957757,1.677952,-1.714046,-7.263585,4.469298,1.61102,-2.499601,-3.815979,13.109449,3.968282,-3.450754,5.522477,-2.138571,-0.168484,-3.414661,1.529857,9.283642,0.000062,-1.750511,-18.278942,-5.805705,-7.652746,9.33704,-0.766133,3.034574,-0.615633,1.90786,8.142902,-0.485158,5.208071,-2.863179,0.474487,2.095584,0.05423,-2.392284,3.61652,4.882189,8.574234,2.481719,3.252847,0.669423,2.329156,-3.168111,-6.442618,2.686133,5.102672,-4.509448,1.600423,3.167432,-6.395032,2.961936,3.27744,2.580899,-1.684351,1.746712,1.045942,5.765323,0.742508,10.96089,4.178171,2.186583,-0.498613,-1.406184,5.268596,-9.474232,1.882536,-40.096115,-4.069444,2.580597,-5.062964,11.73945,4.049512,3.815896,1.020702,4.408344,1.380644,2.711426,4.379285,-3.617062,-9.638052,-4.688705,2.415789,-4.16347,3.826811,-1.120642,3.369717,0.150781,2.007296,0.507791,1.71152,19.458553,-1.338921,-0.792136,6.822532,0.665115,7.001321,2.596932,0.913689,6.533317,1.599307,7.649793,2.153886
4157,164200,113.528107,22.099846,0.055619,0,6.286086,3.591304,4.02004,0.893397,-5.298773,5.426059,3.442085,-1.032747,-0.725724,14.955098,7.60132,-1.281861,5.765512,-1.692965,2.094092,-2.226959,6.80308,10.264629,1.666015,-1.085341,-16.309654,-7.888207,-9.521185,9.199152,-0.796954,1.024339,0.209317,1.580579,4.581753,-3.739441,0.674111,-3.819938,-1.378183,-0.4715,0.874925,-2.210757,5.045764,4.930852,10.301658,3.225242,0.834154,-1.645582,-0.587861,-5.262044,-6.849494,4.846798,4.612923,-3.502015,0.943758,6.894367,-4.260024,3.508656,3.349664,2.490083,0.06856,2.497136,2.532508,6.793187,0.578802,14.84088,4.010403,3.118931,2.358804,-0.522649,6.307195,-7.737622,2.282774,-46.572811,-4.423921,1.414755,-3.911353,11.827495,4.40724,5.205933,3.712439,7.225894,2.891077,2.396626,3.683189,-4.809524,-10.581581,-3.16316,3.461905,-4.973517,3.924455,1.245254,5.074589,1.057921,0.41936,1.933999,0.938879,15.162405,-2.555769,-1.676411,5.854441,1.171324,5.240162,3.051939,2.748504,7.870233,0.100875,7.758835,0.418831
4158,164201,113.536797,22.10133,-0.264358,0,5.638363,-1.953699,0.93402,-5.383102,-10.184732,3.776893,0.366181,-6.569548,-2.328426,9.889676,4.198512,-4.526522,-0.423355,-4.018992,-4.654631,-6.717408,-3.292038,3.578794,-0.563691,-9.833271,-15.01493,-10.527117,-9.171245,5.067828,-9.993307,-4.250102,-5.737016,-5.72183,7.098475,-5.429399,-7.815718,-8.237726,-3.431077,-2.574023,1.484056,-7.200488,-4.55131,-3.789439,0.038051,-7.736369,-6.097348,-7.334517,2.316006,-7.544469,-13.869284,-1.047222,-4.721294,-8.686064,-6.202978,-4.192026,-18.578787,-5.651463,-3.376102,-2.154521,-5.077577,3.085516,-4.158657,-4.675473,-6.189364,9.008396,-3.674752,-4.394139,-7.545028,-11.598527,-1.455891,-12.675392,-6.145165,-25.531065,-5.258759,-6.506114,-6.522768,2.66357,-0.354834,-6.326011,-5.280985,-3.20567,-5.210642,-5.340739,-2.915711,-8.651164,-15.125116,-8.084756,-4.40631,-6.578451,-2.322665,-8.023711,-2.621567,-6.574328,-7.289785,-3.803424,-6.198955,14.037457,-0.559489,-9.840193,-1.510209,-1.667367,-0.800161,-6.411825,-6.449515,-2.284218,-10.613983,1.242139,1.847286
4159,164203,113.542152,22.102219,-0.127735,0,4.652428,-5.312798,0.084165,0.387918,-9.633681,6.573856,2.631448,-3.548213,0.861536,10.134102,2.514419,-6.500775,0.395373,-1.722679,0.130552,-0.985975,3.106523,8.196908,2.730949,-5.970297,-16.575417,-13.219027,-4.712925,0.160848,-5.333351,-3.116442,-4.340065,0.059626,9.702057,-3.234976,-7.860794,-6.44143,-3.141081,-2.33776,2.372708,-5.876731,1.432684,1.645748,0.519682,-1.689168,3.397691,-3.232407,1.841498,-8.643535,-16.333736,4.029771,-1.461887,-7.329469,-1.084676,3.160276,-8.666593,-2.841842,-2.772501,2.372713,-4.029358,2.064544,-3.609041,5.986019,-6.915931,6.587674,-0.386183,1.120741,-4.145614,-6.709596,1.391168,-9.300947,-1.003989,-14.162593,-5.439621,-7.417345,-7.756937,1.092031,-3.607172,-4.63,-0.237044,-0.608154,-1.468157,-0.670139,3.244974,-7.508788,-12.231771,-6.296442,-2.244304,-3.144588,1.322015,-0.319527,2.937038,-1.307137,-4.631382,1.126923,-4.026973,17.673389,-7.644896,-11.745896,-1.993496,-1.875018,-0.53112,-1.617184,-3.469542,3.937755,-4.987835,5.039517,0.455974
4160,164204,113.537338,22.101383,0.171111,0,6.603625,0.146409,1.633239,-0.694321,-6.32773,7.832754,2.576126,-5.045586,-1.661803,12.269029,4.894659,-0.937895,3.421302,-1.064681,-0.35608,0.07598,2.805189,10.037396,0.424256,-3.634546,-13.762068,-7.802966,-3.455011,8.086218,-6.035702,-1.546898,-2.308935,1.40751,10.268689,-1.496308,-2.388307,-4.195191,0.093472,-2.195186,5.624429,-3.134562,-0.087773,3.72437,5.152617,-0.728593,0.908317,-3.184614,2.155304,-5.815892,-10.620903,3.496342,-1.704377,-2.928976,1.513139,1.278649,-9.821122,0.891822,1.417978,4.434974,-0.548698,8.088411,-0.035703,-0.737482,-2.509503,12.649973,2.408944,1.591939,-0.550313,-3.664186,5.860652,-8.506487,-2.258978,-18.23572,-0.349274,-1.988116,-1.258613,9.048954,4.60898,-1.37231,0.97683,1.243075,0.334118,1.727275,1.620479,-1.470112,-12.879272,-3.164971,2.243996,-3.32741,3.017166,-1.241541,2.71089,0.53833,-0.151568,3.906104,-1.59794,21.396658,0.191812,-4.559351,3.159288,5.967436,3.827439,0.345067,0.726898,6.293176,1.469675,5.235312,6.253763
4161,164209,113.532845,22.100603,0.252581,0,8.536655,-0.02441,1.946574,-1.927654,-6.508236,6.568415,3.398313,-3.189524,-1.422445,13.491033,5.793943,0.009486,4.108082,1.17483,0.514232,1.124844,4.113247,5.776464,2.361645,-2.497943,-12.732171,-6.848132,-3.326516,7.447953,-3.911075,-0.697794,-2.097923,0.142998,5.354791,-0.677124,1.371607,-4.314995,0.89289,2.051837,0.416958,-3.886016,4.427264,3.452423,7.146551,1.036103,-2.473212,0.625908,2.958266,-4.846509,-10.925992,3.632635,-1.322156,-1.940643,-0.743567,3.636461,-8.404697,0.143041,0.302646,4.908314,-1.909758,1.39373,0.580827,5.460505,-1.699689,15.257628,3.947174,2.617717,-1.819442,-2.131231,5.059986,-9.048358,0.085957,-28.857687,-3.79961,-1.717313,-3.805718,12.530396,3.213499,3.279857,4.40554,2.56798,-0.291675,2.588873,3.438863,-4.265472,-11.028169,-2.054782,3.134527,-4.725462,1.437168,3.49076,6.753502,2.014216,3.44876,5.719946,2.321137,23.899658,0.455127,-6.224188,5.27492,2.904193,7.01462,1.756112,2.258844,8.179634,0.664391,9.037361,5.422954
4162,164231,113.48838,22.092928,-0.572022,0,-6.243419,-1.380676,-1.581514,-1.934857,0.257655,-4.079953,6.087741,2.767076,-2.503714,0.276046,-19.888191,-11.246402,-11.587708,-16.666168,-18.32922,-17.671349,-13.285469,-14.138186,-10.083894,-24.672634,-31.609074,-7.732989,-12.865644,-24.585785,-16.197477,-16.845367,-14.581593,-15.447515,-20.810131,-17.821945,-9.749792,-19.090607,-15.772629,-11.621323,-4.088999,-20.014637,-4.077265,-13.971807,-9.834721,-9.239176,-9.714743,-16.136106,-12.625079,-17.932014,-28.55451,-7.63557,-6.227243,-16.447203,-18.483118,-13.437298,-15.408955,-18.937004,-13.841985,-13.604659,-12.528322,-16.189583,-22.500917,-14.552804,-26.011848,-13.97292,-14.222174,-16.294836,-16.659666,-17.836723,-9.068069,-19.421572,-10.593049,-26.433418,-16.040451,-20.929329,-27.162994,-8.285217,-11.834934,-13.979992,-14.29504,-12.450062,-14.648226,-15.437866,-24.782391,-14.149827,-22.063656,-7.729856,-7.990769,-13.980473,-11.819294,-15.678791,-13.59918,-13.18239,-15.401899,-25.30407,-16.23089,1.769835,-17.375507,-16.773275,-5.193908,-9.807987,-8.604993,-13.811961,-10.557518,-9.445743,-11.440211,-8.979521,-8.951316
4163,164233,113.543938,22.102404,-0.14984,0,2.831905,1.340989,1.746506,2.538549,-4.638632,7.236665,6.244944,-3.345343,-0.47095,7.992716,8.386607,-8.988935,1.870019,-0.845255,1.141138,1.366401,5.596794,5.458201,2.6105,-5.991028,-14.458325,-11.768696,-2.165239,4.369287,-4.524997,1.740321,-1.505581,0.100205,8.0233,-1.279862,-3.07443,-6.321147,-3.321316,1.206637,3.780508,-4.597704,3.282547,1.958646,2.142653,0.96988,3.315268,0.221106,1.656927,-8.33661,-13.75403,5.469515,1.297794,-5.583282,-1.916796,3.775335,-8.734704,0.014612,-0.488149,2.174558,-6.070505,2.761996,-3.37937,6.448009,-6.096522,10.199495,2.903127,0.347339,-0.247745,-2.992734,4.423059,-7.759211,0.291735,-4.720904,-1.509033,-2.595562,-6.794914,9.269602,-1.251273,-0.688823,2.578305,2.115511,0.39023,-1.974511,4.853654,-5.812267,-11.877644,-6.538794,-0.555291,-4.860711,-0.796311,-1.333775,0.401624,-4.559268,-2.452793,-0.370692,-5.614676,21.879652,-4.279515,-12.427773,-3.154742,1.171118,1.907387,-1.840536,-1.067336,7.08777,-0.030587,8.419661,-2.843026
4164,164234,113.543915,22.102396,-0.643233,0,2.509332,-0.805474,-0.648189,-2.304815,-8.47263,6.294932,0.890241,-5.025436,-4.161289,-1.277128,2.735951,-8.025202,-3.294908,-4.739912,-0.784178,-2.901489,0.346867,3.183754,-5.223035,-10.305814,-16.677139,-4.438651,-7.910876,4.588763,-7.32007,-4.921292,-6.124261,-3.577996,1.739445,-3.856989,-6.575863,-12.736851,-8.883199,-5.756077,0.94226,-7.734092,-0.823914,-6.438529,-0.112668,-3.45663,-2.119816,-4.286813,-3.060066,-11.241864,-19.860397,-2.088654,-6.421427,-13.850889,-6.781997,-0.943949,-13.392278,-8.390741,-8.107574,-7.992076,-14.884916,-5.784912,-10.490705,-1.185594,-12.501171,5.027843,-6.530318,-6.618046,-8.028302,-6.421001,-2.515462,-16.28857,-7.653192,-13.339006,-10.860986,-10.770857,-13.926172,-0.008334,-13.882193,-6.223938,-3.387161,-5.149794,-4.900675,-14.12741,-0.611278,-16.358185,-15.718972,-15.110636,-8.090838,-11.209737,-8.32641,-12.644786,-8.827667,-10.855839,-7.289071,-5.389925,-10.695093,16.093555,-9.279592,-19.772909,-11.215131,-7.212524,9.226587,-7.778368,-6.560197,2.578508,-7.360813,2.80219,-4.934639
